Başlık,Marka,Ürün Modeli,Kullanım Amacı,Renk,Cihaz Ağırlığı,İşlemci Tipi,İşlemci,İşlemci Nesli,İşlemci Çekirdek Sayısı,İşlemci Cache,Temel İşlemci Hızı,Maksimum İşlemci Hızı,Ram (Sistem Belleği),Ram Tipi,Bellek Hızı,SSD Kapasitesi,Harddisk Kapasitesi,Ekran Boyutu,Ekran Panel Tipi,Max Ekran Çözünürlüğü,Ekran Özelliği,Ekran Yenileme Hızı,Ekran Kartı Tipi,Ekran Kartı,Ekran Kartı İşlemcisi,Ekran Kartı Hafızası,Ekran Kartı Bellek Tipi,İşletim Sistemi,Çekilme Zamanı,Fiyat (TRY),Link
"Lenovo IdeaPad Slim 3 AMD Ryzen 7 5825U 8GB 512GB SSD Freedos 15.6"" FHD Taşınabilir Bilgisayar 82XM00U8TX",Lenovo,Notebook,Ofis ve İş,Gri,2 kg ve Altı,AMD Ryzen 7,Ryzen 7,Ryzen,8,16 MB L3 Cache,2 GHz,"4,5 GHz",,DDR4,3200 MHz,,Yok,"15,6 inç",TN,1920 x 1080,Full HD,,Onboard,Onboard,,Paylaşımlı,Onboard,Yok (Free Dos),2025-12-02 03:42:50,"17.991,97 TL",https://www.hepsiburada.com/lenovo-ideapad-slim-3-amd-ryzen-7-5825u-8gb-512gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-82xm00u8tx-pm-HBC00009POGNP
"Apple MacBook Air M4 16GB 256GB SSD macOS 13"" Taşınabilir Bilgisayar Gök Mavisi MC6T4TU/A",Apple,Notebook,,Mavi,2 kg ve Altı,Apple M4,Apple M4,Apple M4,,Belirtilmemiş,,Yok,,Belirtilmemiş,Belirtilmemiş,,Yok,13 inç,Liquid Retina Ekran,2560 x 1664,,,Dahili Ekran Kartı,Onboard,,Paylaşımlı,Paylaşımlı,macOS,2025-12-02 03:42:55,47.699 TL,https://adservice.hepsiburada.com/event/api/v1/track?event=Tm5BS1BnUmFYdEc5RGRvK2hCbjdKYWpKQVdYaVdaa2x6Q1liNEpXZUZ5YXh2WGh0ckhpQlBKVDhRSk1CR2VxcEZHWFZJWVBCd1BkSGdvbkhuTHdVL2F4ZFBWbUtQeXFMTkpnMUQ1SHM3QitnaldwVDJPVEF1cWQ0cUZoZ3hyS1FwZ0xmZC9KdXI0c3VXUm52aEREUUdSVmRJRDN3eDhRcitzdmdzaXZvMnFzSThKUktMbmpBcEpDTXZkSUJuYSthSmMrSHZ5TkZrdHlaLzJ2dU1jOGNlTXNrYis2UGZyV0dGT3JicHZ5dmo5RHQ5VmxhOUdKZ1VxRGUvdit5Z0NnNGI2dWxBaExDSURBRWxGM1VwWHRJUGRXTGY3VHprM0ZEQUd5S1lxZjVnZk0yWEgvdjdlb1B1a3hxcFk3L2dZYmpyZTYwcmRESnY1bUhSdURCU3NXQnkxc2YzV3AxRnJoRUZvc2E4ZWtZU3hvZkpZQnZYMzdybFVGZnJLQlVmTTZHYUprZ2lWNVdoN3hOSk9reUJXaURFdXg5QjZSSU9OUEpwcUt6ZTQvUW0rT3JoSkVIZXBsNjdJL3EzM050TXc1MmMrRG5zVW1CbkhVNTZtY0pUenZXR0VnNWcxTmFVaUdxZEJDbkFRTlJuZGVjSUxETE11akFpSWF1ZXhqYWZCNzY2UzNpUmU2SGlMbU9BSTgzTjFQeG54ZXdXRzJtd1N5aWI5SzdwZTBkQjlV&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Fapple-macbook-air-m4-16gb-256gb-ssd-macos-13-tasinabilir-bilgisayar-gok-mavisi-mc6t4tu-a-p-HBCV00008749EE%3Fmagaza%3DHepsiburada&eventName=sp-click&platform=desktop&anonymousId=a26a7faf-9ff8-4e64-bffb-c9895d443e39
Acer Aspire Lite AL16-54P Intel Core i5 1334U 16GB 512GB SSD Freedos 15.6'' FHD Taşınabilir Bilgisayar NX.D76EY.001,Acer,Notebook,,Gümüş,2 kg ve Altı,Intel Core i5,1334U,13.Nesil,,10 MB Cache,,"1,3 GHz",,DDR5,3200 MHz,,Yok,16 inç,LCD,1920 x 1200,,,Dahili Ekran Kartı,Intel UHD Graphics,,Belirtilmemiş,DDR5,Yok (Free Dos),2025-12-02 03:43:00,18.999 TL,https://www.hepsiburada.com/acer-aspire-lite-al16-54p-intel-core-i5-1334u-16gb-512gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-nx-d76ey-001-pm-HBC0000A10UR2
"Dell Vostro 3530 N3404PVNB3530U08 I5-1334U 16GB 512SSD 15.6"" Fhd Windows 11 Pro Taşınabilir Bilgisayar-CNT009",Dell,Notebook,,Koyu Gri,2 kg ve Altı,Intel Core i5,1334U,13.Nesil,,12 MB Cache,,"4,6 GHz",16 GB,DDR4,3200 MHz,512 GB,Yok,"15,6 inç",WVA,1920 x 1080,Full HD,,Dahili Ekran Kartı,Intel Iris Xe Graphics,Intel Iris Xe,Paylaşımlı,Onboard,Windows 11 Pro,2025-12-02 03:43:04,"26.960,78 TL",https://adservice.hepsiburada.com/event/api/v1/track?event=amlOQXN5YkNMazJpaHI2MHhjL0ZFQUJBRXhMOG1DWHFxY2s2aC9HTmNaeWF6dGpLWHdFajRDYmNNbDM4c2NIQmlLOE5iays4VTZDZkppM3VjaTJWMHdrVHFnY3c0a3dpaGFyK2JySzNjYXZFLzdqTE5BTFMzc0xNQWFNN2VncnU2ZGcyNk1pQlRja1V3TGxZWmpGZ05MMUx1N25KdHZrei9iQW5YNDRwdTFMc21KM0ZoQitLM1R2S1REUWpiUit6UUM3THZ5THVlN2hCSUxxMmI4dk5WcXVNMXpFZU4zM2NMaFlKVzVUcmZVV0FwcUpGVUxLSUZKbzBjV29zall3aGxaTHdkMXN5Z294ZjdTRENLTGVub2VYYnEra3FtRS9vYVBlUzY2MWRaWjBDeDRPejlNRjRzZkMrY3dTY2tIRS8rQzgvNTVNMTZoWm9WWEdXbXJyMkdnUUZSYW05QjlrM3ZpR0lsU3c2dzJLTG0zc3U1cFNmR214eGwyV0RCNGRUMDNJVERQNzNQWktqSVdzeUp4ZHdMYnBFOFdwTWhzbDhqQ1RzT3dSTC83MVJoOHVOektZb1hhWTh1WVRUdHNOMHVZd3VaanJBc0lqVDdKamg2SUFiMW9mNzN1SmhIdFlSK0ZSTnBaTkNFZllSZk5jWExnY1JxRFN5Z3o1dzBOaUNKSzlVT2FaN0xYUWxxQVR0QWFLSmU2VzZoWGdldGpwVW1td3htUG4vMDRj&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Fdell-vostro-3530-n3404pvnb3530u08-i5-1334u-16gb-512ssd-15-6-fhd-windows-11-pro-tasinabilir-bilgisayar-cnt009-p-HBCV000077K5H2%3Fmagaza%3Dteknoraks&eventName=sp-click&platform=desktop&anonymousId=a26a7faf-9ff8-4e64-bffb-c9895d443e39
"Game Garaj Slayer X7T-5060 C2 Intel Core I7 14650HX 32GB Ram 1tb SSD RTX5060 16"" Qhd+ 180Hz IPS Freedos Oyuncu Laptop",Game Garaj,Oyun Bilgisayarları,Oyun ve Eğlence,"Gri, Gri",2 - 4 kg,Intel Core i7,14650HX,14.Nesil,16,30 MB Cache,"2,2 GHz","5,2 GHz",,DDR5,5600 MHz,,Yok,16 inç,IPS,2560 x 1600,QHD+,180 Hz,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 5060,Nvidia GeForce RTX,8 GB,GDDR7,Yok (Free Dos),2025-12-02 03:43:09,57.999 TL,https://www.hepsiburada.com/game-garaj-slayer-x7t-5060-c2-intel-core-i7-14650hx-32gb-ram-1tb-ssd-rtx5060-16-qhd-180hz-ips-freedos-oyuncu-laptop-p-HBCV00009MEIBK
"HP 15 FC0059NT AMD Ryzen 7 7730U 16GB 512GB SSD Freedos 15.6"" FHD Taşınabilir Bilgisayar 8M1T1EA",HP,Notebook,,Siyah,1 - 2 kg,AMD Ryzen 7,AMD Ryzen 7,Ryzen,,16 MB L3 Cache,,"4,5 GHz",16 GB,DDR4,3200 MHz,512 GB,Yok,"15,6 inç",IPS,1920 x 1080,,,Dahili Ekran Kartı,Paylaşımlı,,Paylaşımlı,Onboard,Yok (Free Dos),2025-12-02 03:43:14,"19.799,31 TL",https://www.hepsiburada.com/hp-15-fc0059nt-amd-ryzen-7-7730u-16gb-512gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-8m1t1ea-pm-HBC000050XW3W
"Huawei Matebook D14 2024 Intel Core i5 12450H 16GB 512GB SSD Windows 11 Home 14"" Taşınabilir Bilgisayar",Huawei,Notebook,Ofis ve İş,Koyu Gri,1 - 2 kg,Intel Core i5,12450H,12.Nesil,,12 MB Cache,,Yok,,Belirtilmemiş,Belirtilmemiş,,Yok,14 inç,IPS,1920 x 1200,Belirtilmemiş,,Dahili Ekran Kartı,Intel UHD Graphics,,Paylaşımlı,Onboard,Windows 11 Home,2025-12-02 03:43:19,24.499 TL,https://www.hepsiburada.com/huawei-matebook-d14-2024-intel-core-i5-12450h-16gb-512gb-ssd-windows-11-home-14-tasinabilir-bilgisayar-pm-HBC000065LN09
"Lenovo IdeaPad Slim 3 Intel Core i3 1315U 8GB 512GB SSD Freedos 15.6"" FHD Taşınabilir Bilgisayar 82X700G0TX",Lenovo,Notebook,Ofis ve İş,Gri,2 kg ve Altı,Intel Core i3,1315U,13.Nesil,6,10 MB Cache,"1,2 GHz","4,5 GHz",,LPDDR5,4800 MHz,,Yok,"15,6 inç",TN,1920 x 1080,Full HD,,Onboard,Onboard,,Paylaşımlı,Onboard,Yok (Free Dos),2025-12-02 03:43:23,"17.022,90 TL",https://www.hepsiburada.com/lenovo-ideapad-slim-3-intel-core-i3-1315u-8gb-512gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-82x700g0tx-pm-HBC00009PYLS9
"Apple MacBook Air M2 16GB 256GB SSD macOS 13"" Taşınabilir Bilgisayar Gece Yarısı MC7X4TU/A",Apple,Notebook,,"Gri, Koyu Mavi",2 kg ve Altı,Apple M2,Apple M2,Apple M2,,Belirtilmemiş,,Yok,,Belirtilmemiş,Belirtilmemiş,,Yok,13 inç,Liquid Retina Ekran,2560 x 1440,,,Dahili Ekran Kartı,Onboard,,Paylaşımlı,Onboard,macOS,2025-12-02 03:43:28,37.399 TL,https://www.hepsiburada.com/apple-macbook-air-m2-16gb-256gb-ssd-macos-13-tasinabilir-bilgisayar-gece-yarisi-mc7x4tu-a-pm-HBC000078JE62
HP Omen 16-AP0019NT C12CNEA Amd Ryzen 9-8940HX 32GB Ram 1tb SSD 8gb Geforce RTX5070 16 Inç 2k 144Hz Freedos Siyah Taşınabilir Bilgisayar,HP,Oyun Bilgisayarları,,"Siyah, Siyah",2 - 4 kg,AMD Ryzen 9,8940HX,8.Nesil,,64 MB L3 Cache,,"5,3 GHz",,DDR5,5200 MHz,,Yok,16 inç,IPS,1920 x 1200,,144 Hz,Harici Ekran Kartı,Nvidia GeForce RTX 5070,,8 GB,GDDR7,FreeDos,2025-12-02 03:43:32,"78.450,84 TL",https://adservice.hepsiburada.com/event/api/v1/track?event=TUFwWVdyak1TVWhvNVFSMEJmUTRQUGxnZ3VtbkN0ZEo0TzF0T0IwNS9VL1pJNGEraGhaVURhcEZmUkJhaXhjdUk5dXQ2MG1XMjI1dkpObXV3Y3JLQ2w1Nnl5bDJIajdsd0RQZnpIdWEwUUh4UEpNVTVCdVdrTENVR25KdDJEUDJrem9tK05CSVZIeDlLZWcveWcrSXBkODRmUm5sVklYTGRCUTh3OWpmNEdlWk9Qb3libU51YnVROE0rZUt6SDhYUVQ2ODN2bkxHVFhVM1hnVXRraGE0ZHk2NDludkIzTEU4SlFpUWJjSFloeWpNMDNwVkJJQkQ2V1pPNVZTczhvMWVhbVRway9kWVZiWkYrUkIwUVZCRXpSSVI1czd2T1ZWYUZEdTIzbDFsYy9ma2R0Z1htZCtISGRXSnVTblpUVzFvSnl0ZGJRM3cyZmhONWs0eUF6eTNQZUw1SFdLTlRxUFNlSVdRU1VPZkVsVytGb21oTUxRMnhDbkhhWGxJRXF6VXZGQjN5YitXSUwySHhDRjRqUy8zbnN2QXNmQ3NzZmdiNWlScTduVVQ4cVNNSGd4WjZGRW4wMDA0Rlc0eFRHMVlPNkZpbWpaK1duTGptQ1ZWemlJYStKVmlRTEFCZlZTWTluaFV0K2M1S2ZxUjBndmxRYlRYcEZ4Z2JlcS9MQWg1TG5KOWVaQVMrMGh5UkZrZzFzSGdLcDJkaEVtSklCV29xZ0FiUWozZ1cw&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Fhp-omen-16-ap0019nt-c12cnea-amd-ryzen-9-8940hx-32gb-ram-1tb-ssd-8gb-geforce-rtx5070-16-inc-2k-144hz-freedos-siyah-tasinabilir-bilgisayar-p-HBCV00009YWYMK%3Fmagaza%3DHP+Store+T%C3%BCrkiye&eventName=sp-click&platform=desktop&anonymousId=a26a7faf-9ff8-4e64-bffb-c9895d443e39
"Apple MacBook Air M2 16GB 256GB SSD macOS 13"" Taşınabilir Bilgisayar Yıldız Işığı MC7W4TU/A",Apple,Notebook,,Altın,2 kg ve Altı,Apple M2,Apple M2,Apple M2,,Belirtilmemiş,,Yok,,Belirtilmemiş,Belirtilmemiş,,Yok,13 inç,Liquid Retina Ekran,2560 x 1440,,,Dahili Ekran Kartı,Onboard,,Paylaşımlı,Onboard,macOS,2025-12-02 03:43:37,37.999 TL,https://www.hepsiburada.com/apple-macbook-air-m2-16gb-256gb-ssd-macos-13-tasinabilir-bilgisayar-yildiz-isigi-mc7w4tu-a-pm-HBC000078JDQP
